feature,importance
engagement_rate,0.1958848999345572
account_age_months,0.186275762928332
ff_ratio,0.12757339631868123
avg_comments,0.11720019881352835
avg_likes,0.08153047346893837
followers,0.07972719298007842
log_followers,0.051175537761530124
is_private,0.04734301407303602
log_posts,0.02927195588112659
posts,0.0253514939068799
log_following,0.02115676080762152
following,0.01604365890838359
completeness_score,0.008606360025817404
has_numeric_username,0.008506132877543388
post_frequency,0.003445882202234756
has_external_url,0.0007725196557278135
has_profile_pic,9.775881721638378e-05
has_bio,3.7000638766910424e-05
